date,product_id,sales_volume,revenue
2016-09-15,5a6b04657a4c5ee34285d1e4619a96b4,3,134.97
2016-10-03,107177bf61755f05c604fe57e02467d6,1,119.9
2016-10-03,3ae08df6bcbfe23586dd431c40bddbb7,1,29.9
2016-10-03,a5c3ddb1a400f50d1cf7138727aec136,1,128.9
2016-10-03,b72b39418216e944bb34e35f4d3ea8c7,1,36.49
2016-10-03,bfce5e847034e1fbbc1ed0bff6a372c7,1,74.9
2016-10-03,e2a1d45a73dc7f5a7f9236b043431b89,1,29.99
2016-10-03,fd7fd78fd3cbc1b0a6370a7909c0a629,1,21.9
2016-10-04,b73f6899a58fe7a37e55149e9a11c717,1,86.99
2016-10-04,b6f134ff2933bb0ee1f36e2865f21a91,1,139.9
2016-10-04,b560b8ea76437c088ea9a83c49316fb5,1,44.9
2016-10-04,9e93b2c4cb5eea05e75a481c129b104d,1,9.9
2016-10-04,817e1c2d22418c36386406ccacfa53e8,1,189.0
2016-10-04,8adc1d29aa4fd4d758a91ef997c8a0a2,2,129.8
2016-10-04,85b99d83c60cab5b4d8f927ad35212a1,1,67.9
2016-10-04,b846c1b90a30689a98f530aa20edd424,1,399.0
2016-10-04,7cd29da0653abeb444703cc5a957f479,1,49.9
2016-10-04,8f1e43e0e3374ed8c84df748034d6179,1,59.9
2016-10-04,bd701724b9bc9f955e22db8ec65b5097,1,19.9
2016-10-04,d48e56be99464cbf285a9da17f618165,1,79.9
2016-10-04,c3b7e4d83e530c27a8e6368296aece48,1,148.0
2016-10-04,c3b8f6be3507bb05fd83797f81f679bc,1,19.99
2016-10-04,79bcd1f7f00535c801244eb999d8d290,1,199.0
2016-10-04,dc82d7e8f99966cb4c641f7ea5590eaf,1,39.9
2016-10-04,e08d86e1c599e2373d95380ac9a3ccc8,1,179.9
2016-10-04,e095c986136fd680308f08bc98f20a53,1,89.0
2016-10-04,e1ed3c28e40cbce2783e79eea79e8701,1,49.9
2016-10-04,e7ffaa35a5caaca3366f5cc5705b5fb2,1,49.9
2016-10-04,eba7488e1c67729f045ab43fac426f2e,4,999.6
2016-10-04,ecf23a6c1689e2bed38171ececac6138,1,109.9
2016-10-04,fd440fd792fd8a4b681f1eb258c25445,1,79.9
2016-10-04,c1488892604e4ba5cff5b4eb4d595400,1,39.99
2016-10-04,79938780eb7ffb7289f59a9a283bc06b,1,59.9
2016-10-04,f422d0d9f8b5f7c27289382b14b61248,1,69.99
2016-10-04,583916a5dae918f5e89baec139141c54,1,49.99
2016-10-04,66e08854f9319c6aa4874ca435598331,1,79.9
2016-10-04,062619359d5f9a664606cb2a6ccb477a,1,136.9
2016-10-04,0c5801458e74f9b6c23b44c331426e30,1,89.9
2016-10-04,201ec8e4fb8456dd06265be68eb419a7,2,119.8
